source_monomer_name,standardized_name,base_monomer_name,monomer_smiles,molwt,count,source_count,canonical_anchor,pseudo_anchor,anchor_rule,stereochemistry_default,is_n_methyl,edit_scope_default,operation_default,attachment_default,chemical_payload_type_default,chemical_payload_template,manual_curation_priority,manual_check,quality_flag,notes,anchor_for_alignment,edit_event_class_default,edit_event_subclass_default,final_edit_scope,final_chemical_payload_type,final_chemical_payload,use_for_local_edit_model,use_for_atom_edit_model,local_model_eligibility,atom_model_eligibility,model_use_tier_default,requires_manual_curation_final,final_curation_reason,quality_flag_final
Mono61,Mono61,Mono61,CCCC[C@@H](O)[C@@H](C=O)NC,159.229,4,1,,Mono61,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono61,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono61,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono61,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono8,Mono8,Mono8,CN[C@@H](CC=O)C(F)(F)F,155.119,4,1,,Mono8,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono8,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono8,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono8,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono85,Mono85,Mono85,CNCCCCCCN[C@H](C)C=O,186.299,4,1,,Mono85,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono85,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono85,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono85,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono92,Mono92,Mono92,CNCCC[C@@H](C)C=O,129.203,4,1,,Mono92,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono92,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono92,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono92,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono94,Mono94,Mono94,CNCC[C@@H](C)CC=O,129.203,4,1,,Mono94,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono94,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono94,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono94,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono95,Mono95,Mono95,CNCC[C@H](C)CC=O,129.203,4,1,,Mono95,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono95,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono95,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono95,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono96,Mono96,Mono96,CNC[C@H](C)CCC=O,129.203,4,1,,Mono96,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono96,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono96,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono96,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono97,Mono97,Mono97,CNC[C@@H](C)CCC=O,129.203,4,1,,Mono97,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono97,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono97,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono97,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono98,Mono98,Mono98,CN[C@H](C)CCCC=O,129.203,4,1,,Mono98,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono98,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono98,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono98,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono99,Mono99,Mono99,CN[C@@H](C)CCCC=O,129.203,4,1,,Mono99,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono99,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono99,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono99,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Glu_NH2,Glu_NH2,Glu_NH2,CN[C@@H](CCC=O)C(N)=O,144.174,3,1,Q,,rule_glu_nh2_as_gln_v5,L,False,none,none,,,,medium,True,auto_v5_anchor_optimized,v5: rule-refined anchor/scope/payload,Q,natural_or_anchor_equivalent,anchor_equivalent_or_normalized_residue,none,,,False,False,not_an_edit,not_an_edit,reference_or_no_edit,True,"Normalized to a natural anchor with no explicit edit payload; use as reference/equivalent, not as a separate edit label.",natural_or_anchor_equivalent
Mono101,Mono101,Mono101,CNC(=O)[C@H](CSCC=O)N(C)C,204.295,3,1,,Mono101,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono101,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono101,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono101,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono103,Mono103,Mono103,CC[C@H](c1nnc([C@H](Cc2ccccc2)NC)o1)N1CCC[C@H]1c1nc(C=O)cs1,425.558,3,1,,Mono103,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono103,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono103,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono103,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono83,Mono83,Mono83,CNCCCCCCNCC=O,172.272,3,1,,Mono83,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono83,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono83,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono83,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono84,Mono84,Mono84,CNCCCCCCN[C@@H](C)C=O,186.299,3,1,,Mono84,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono84,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono84,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono84,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Hse(Et),Hse(Et),Hse(Et),CCOCC[C@@H](C=O)NC,145.202,2,1,S,,rule_hse_et_to_ser_v6,L,False,R_group_edit,serine_sidechain_extension+O_ethylation,serine_OH/sidechain_Cbeta,r_group_delta,Ser_CH2OH_to_CH2CH2OEt,high,True,auto_v6_anchor_optimized,v6: O-ethyl homoserine is Ser-anchored side-chain extension plus O-ethylation; keep manual review,S,local_interpretable_edit,sidechain_R_group_edit,R_group_edit,r_group_delta,Ser_CH2OH_to_CH2CH2OEt,False,True,needs_manual_review_before_core_local_use,eligible_after_review_or_low_weight,local_candidate_needs_review,True,Interpretable local edit relative to anchor; suitable for core local edit labels when not manually blocked.,local_interpretable_edit
Mono102,Mono102,Mono102,CN1CCC[C@H]1c1nc(C=O)cs1,196.275,2,1,,Mono102,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono102,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono102,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono102,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono16,Mono16,Mono16,CO[C@@H](C=O)CC(O)CCl,166.604,2,1,,Mono16,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono16,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono16,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono16,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono28,Mono28,Mono28,CN[C@H](/C=C(\C)C=O)CC(C)C,169.268,2,1,,Mono28,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono28,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono28,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono28,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono29,Mono29,Mono29,CN[C@@H](/C=C(\C)C=O)CC(C)C,169.268,2,1,,Mono29,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono29,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono29,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono29,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono31,Mono31,Mono31,CN[C@H](c1nc(C=O)cs1)C(C)C,198.291,2,1,,Mono31,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono31,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono31,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono31,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono52,Mono52,Mono52,CN(C)[C@H](C=O)CCC1CCC(F)(F)CC1,233.302,2,1,,Mono52,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono52,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono52,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono52,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono60,Mono60,Mono60,CN1C[C@@H](N2CCC(F)(F)CC2)C[C@H]1C=O,232.274,2,1,,Mono60,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono60,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono60,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono60,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono63,Mono63,Mono63,CN[C@H](C=O)CCc1noc(=O)[nH]1,185.183,2,1,,Mono63,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono63,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono63,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono63,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
(N->O)xiIle,(N->O)xiIle,(N->O)xiIle,CCC(C)[C@@H](C=O)OC,130.187,1,1,I,,rule_depsipeptide_N_to_O_v6,L,False,backbone_edit,amide_to_ester_N_to_O,backbone_N/O,delta_graph,amide_NH_to_ester_O,medium,True,auto_v6_anchor_optimized,v6: Depsipeptide N->O residue anchored to its matching natural residue,I,local_interpretable_edit,depsipeptide_N_to_O_local_edit,backbone_edit,delta_graph,amide_NH_to_ester_O,False,True,needs_manual_review_before_core_local_use,eligible_after_review_or_low_weight,local_candidate_needs_review,True,Interpretable local edit relative to anchor; suitable for core local edit labels when not manually blocked.,local_interpretable_edit
2Abz,2Abz,2Abz,CNc1ccccc1C=O,135.166,1,1,,2Abz,rule_unknown_pseudo,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,2Abz,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,2Abz,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,2Abz,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono105,Mono105,Mono105,CC[C@H](c1nnc([C@H](Cc2ccc(O)cc2)NC)o1)N1CCC[C@H]1c1nc(C=O)cs1,441.557,1,1,,Mono105,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono105,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono105,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono105,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono106,Mono106,Mono106,CN[C@@H](Cc1ccccc1)c1nc(C=O)co1,230.267,1,1,,Mono106,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono106,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono106,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono106,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono107,Mono107,Mono107,CC[C@@H](N[C@H](c1nc(C=O)cs1)C(C)C)c1nnc([C@H](Cc2ccccc2)NC)o1,427.574,1,1,,Mono107,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono107,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono107,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono107,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono108,Mono108,Mono108,CN[C@@H](Cc1csc(C2=N[C@H](C=O)CS2)c1)C(N)=O,297.405,1,1,,Mono108,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono108,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono108,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono108,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono109,Mono109,Mono109,CN[C@@H](Cc1cc(C2=N[C@H](C=O)CS2)cs1)C(N)=O,297.405,1,1,,Mono109,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono109,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono109,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono109,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono110,Mono110,Mono110,CN[C@@H](Cc1cccc(C2=N[C@H](C=O)CS2)c1)C(N)=O,291.376,1,1,,Mono110,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono110,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono110,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono110,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
