source_monomer_name,standardized_name,base_monomer_name,monomer_smiles,molwt,count,source_count,canonical_anchor,pseudo_anchor,anchor_rule,stereochemistry_default,is_n_methyl,edit_scope_default,operation_default,attachment_default,chemical_payload_type_default,chemical_payload_template,manual_curation_priority,manual_check,quality_flag,notes,anchor_for_alignment,edit_event_class_default,edit_event_subclass_default,final_edit_scope,final_chemical_payload_type,final_chemical_payload,use_for_local_edit_model,use_for_atom_edit_model,local_model_eligibility,atom_model_eligibility,model_use_tier_default,requires_manual_curation_final,final_curation_reason,quality_flag_final
Mono111,Mono111,Mono111,CN[C@@H](Cc1cncc(C2=N[C@H](C=O)CS2)c1)C(N)=O,292.364,1,1,,Mono111,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono111,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono111,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono111,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono112,Mono112,Mono112,CN[C@@H](CC1=N[C@H](C=O)CS1)C(N)=O,215.278,1,1,,Mono112,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono112,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono112,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono112,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono15,Mono15,Mono15,C/C=C/C[C@@H](C)[C@@H](OC(C)=O)[C@@H](C=O)N(C)C,241.331,1,1,,Mono15,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono15,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono15,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono15,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono17,Mono17,Mono17,CN[C@H](C)c1nc(C=O)cs1,170.237,1,1,,Mono17,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono17,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono17,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono17,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono18,Mono18,Mono18,CC[C@H](C)[C@H](NC)C1=N[C@H](C=O)[C@@H](C)O1,212.293,1,1,,Mono18,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono18,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono18,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono18,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono19,Mono19,Mono19,CN[C@H](Cc1ccccc1)c1nc(C=O)cs1,246.335,1,1,,Mono19,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono19,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono19,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono19,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono2,Mono2,Mono2,C[C@H]1CCN(C)[C@@H]1C=O,127.187,1,1,,Mono2,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono2,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono2,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono2,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono20,Mono20,Mono20,CN[C@H](C1=N[C@H](C=O)[C@@H](C)O1)C(C)C,198.266,1,1,,Mono20,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono20,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono20,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono20,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono23,Mono23,Mono23,,,1,1,,Mono23,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono23,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono23,unknown_replacement,unknown_replacement_without_monomer_structure,unknown_replacement,unknown_or_missing_structure,Mono23,False,False,not_eligible,not_eligible_until_structure_or_manual_curation,exclude_until_curated,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono24,Mono24,Mono24,,,1,1,,Mono24,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono24,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono24,unknown_replacement,unknown_replacement_without_monomer_structure,unknown_replacement,unknown_or_missing_structure,Mono24,False,False,not_eligible,not_eligible_until_structure_or_manual_curation,exclude_until_curated,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono25,Mono25,Mono25,CN1CC[C@H](Cl)C[C@H]1C=O,161.632,1,1,,Mono25,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono25,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono25,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono25,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono26,Mono26,Mono26,CC[C@H](C)[C@@H](NC)[C@@H](O)CC=O,173.256,1,1,,Mono26,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono26,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono26,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono26,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono27,Mono27,Mono27,CO[C@H](C(=O)[C@H](C)C=O)C(C)C,172.224,1,1,,Mono27,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono27,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono27,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono27,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono3,Mono3,Mono3,CN(C)[C@H](C=O)CCN1CCCCC1,198.31,1,1,,Mono3,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono3,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono3,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono3,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono30,Mono30,Mono30,CN[C@@H](CC(C)C)c1nc(C=O)cs1,212.318,1,1,,Mono30,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono30,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono30,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono30,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono36,Mono36,Mono36,CN[C@@H](Cc1ccccc1)c1nnc([C@@H](Cc2ccccc2)N2CCC[C@H]2C=O)o1,404.514,1,1,,Mono36,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono36,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono36,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono36,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono37,Mono37,Mono37,CN[C@@H](Cc1ccccc1)c1nnc([C@@H](CC(C)C)N2CCC[C@H]2C=O)o1,370.497,1,1,,Mono37,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono37,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono37,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono37,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono4,Mono4,Mono4,CN(C)[C@H](C=O)CC(=O)N1CCCCC1,212.293,1,1,,Mono4,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono4,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono4,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono4,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono47,Mono47,Mono47,CN1C[C@H]1[C@@H](C(=O)NC(C)(C)C)N1CCC[C@H]1C=O,267.373,1,1,,Mono47,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono47,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono47,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono47,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono5,Mono5,Mono5,CN(C)[C@H](C=O)CC(=O)N1CCOCC1,214.265,1,1,,Mono5,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono5,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono5,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono5,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono65,Mono65,Mono65,CN[C@H](C=O)CCCC(O)C(F)(F)F,213.199,1,1,,Mono65,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono65,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono65,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono65,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono68,Mono68,Mono68,,,1,1,,Mono68,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono68,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono68,unknown_replacement,unknown_replacement_without_monomer_structure,unknown_replacement,unknown_or_missing_structure,Mono68,False,False,not_eligible,not_eligible_until_structure_or_manual_curation,exclude_until_curated,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono69,Mono69,Mono69,CCC[C@H](C)[C@@H](OC)[C@@H](C)[C@H](C/C=C(\C)C=O)OC,270.413,1,1,,Mono69,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono69,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono69,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono69,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono70,Mono70,Mono70,C/C=C/C[C@@H](C)C(=O)[C@@H](C=O)N(C)C,197.278,1,1,,Mono70,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono70,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono70,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono70,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono71,Mono71,Mono71,CCOC(=O)n1cnc(C[C@@H](C=O)NC)c1,225.248,1,1,,Mono71,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono71,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono71,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono71,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono72,Mono72,Mono72,CCOC(=O)N(C(=O)CC[C@@H](C=O)NC)C(=O)OCC,288.3,1,1,,Mono72,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono72,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono72,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono72,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono73,Mono73,Mono73,CCOC(=O)N(C(=O)C[C@@H](C=O)NC)C(=O)OCC,274.273,1,1,,Mono73,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono73,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono73,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono73,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono74,Mono74,Mono74,CCOC(=O)/N=C(/NCCC[C@@H](C=O)NC)NC(=O)OCC,316.358,1,1,,Mono74,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono74,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono74,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono74,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono88,Mono88,Mono88,CNCCCCCCN(C)[C@H](C=O)Cc1ccccc1,276.424,1,1,,Mono88,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono88,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono88,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono88,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
Mono91,Mono91,Mono91,CNCCCCCCN(C(C)=O)[C@H](C=O)Cc1ccccc1,304.434,1,1,,Mono91,rule_mono_fallback,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,Mono91,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,Mono91,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,Mono91,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
aMeLeu,aMeLeu,aMeLeu,CN[C@](C)(C=O)CC(C)C,143.23,1,1,,aMeLeu,rule_unknown_pseudo,L,False,full_residue_fallback,full_residue_replacement,unknown,full_residue_graph,aMeLeu,high,True,auto_v6_retained_fallback_needs_review,v5: retained fallback; no reliable canonical anchor inferred,aMeLeu,unknown_replacement,unknown_replacement_with_monomer_structure,unknown_replacement,full_residue_graph,aMeLeu,False,True,not_eligible,eligible_as_low_confidence_full_residue_graph,atom_unknown_auxiliary,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
d(N->O)Gly(allyl),d(N->O)Gly(allyl),(N->O)Gly(allyl),C=CC[C@H](C=O)OC,114.144,1,1,G,,rule_depsipeptide_N_to_O_v5,,False,backbone_and_R_group_edit,amide_to_ester_N_to_O+O_allyl_substitution,backbone_N_to_O;backbone_O,combined_delta,amide_NH_to_ester_O;O-H_to_O-allyl,low,True,auto_v5_anchor_optimized,v5: rule-refined anchor/scope/payload | v5 cleanup: normalized combined scope / depsipeptide mapping,G,local_interpretable_edit,depsipeptide_N_to_O_local_edit,backbone_and_R_group_edit,combined_delta,amide_NH_to_ester_O;O-H_to_O-allyl,False,True,needs_manual_review_before_core_local_use,eligible_after_review_or_low_weight,local_candidate_needs_review,True,Interpretable local edit relative to anchor; suitable for core local edit labels when not manually blocked.,local_interpretable_edit
dLeu(3R-OH),dLeu(3R-OH),Leu(3R-OH),,,1,1,,Leu(3R-OH),rule_unknown_pseudo,D,False,stereochemistry_edit,D_L_inversion,alpha_C,chirality_change_flag,L_to_D,high,True,auto_v6_retained_fallback_needs_review,v6: retained fallback/pseudo anchor; no reliable automatic canonical anchor assigned,Leu(3R-OH),unknown_replacement,unknown_replacement_without_monomer_structure,unknown_replacement,unknown_or_missing_structure,L_to_D,False,False,not_eligible,not_eligible_until_structure_or_manual_curation,exclude_until_curated,True,No reliable automatic natural anchor/local edit decomposition; keep as unknown replacement.,unknown_replacement
